Players,Team,Win,Lost,ERA,Games,GS,CG,SHO,Saves,SVO,IP,Hits,Runs,ER,HR,HB,BB,SO,WHIP,AVG,Year
Brandon Workman,BOS,10,1,1.88,73,0,0,0,16,22,71.2,29,18,15,1,2,45,104,1.03,.123,2019
Ty Buttrey,LAA,6,7,3.98,72,0,0,0,2,6,72.1,69,34,32,8,5,23,84,1.27,.247,2019
Junior Guerra,MIL,9,5,3.55,72,0,0,0,3,11,83.2,58,35,33,11,4,36,77,1.12,.194,2019
Jared Hughes,PHI,5,5,4.04,72,0,0,0,1,4,71.1,57,37,32,13,2,27,54,1.18,.224,2019
Tommy Kahnle,NYY,3,2,3.67,72,0,0,0,0,5,61.1,45,27,25,9,2,20,88,1.06,.200,2019
Richard Rodriguez,PIT,4,5,3.72,72,0,0,0,1,5,65.1,65,30,27,14,2,23,63,1.35,.252,2019
Pedro Baez,LAD,7,2,3.10,71,0,0,0,1,7,69.2,43,30,24,6,4,23,69,0.95,.174,2019
Carlos Estevez,COL,2,2,3.75,71,0,0,0,0,2,72.0,70,34,30,12,1,23,81,1.29,.250,2019
Hansel Robles,LAA,5,1,2.48,71,1,0,0,23,27,72.2,58,20,20,6,0,16,75,1.02,.221,2019
Chaz Roe,TB,1,3,4.06,71,0,0,0,1,6,51.0,49,27,23,3,1,31,65,1.57,.251,2019
Joakim Soria,OAK,2,4,4.30,71,1,0,0,1,6,69.0,51,33,33,9,3,20,79,1.03,.202,2019
Matt Barnes,BOS,5,4,3.78,70,0,0,0,4,12,64.1,51,29,27,8,2,38,110,1.38,.210,2019
